,dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
0,1855-05-01,25.544,1.171,Acre,Brazil
1,1855-06-01,24.228,1.103,Acre,Brazil
2,1855-07-01,24.371,1.044,Acre,Brazil
3,1855-08-01,25.427,1.073,Acre,Brazil
4,1855-09-01,25.675,1.014,Acre,Brazil
5,1855-10-01,25.442,1.179,Acre,Brazil
6,1855-11-01,25.4,1.064,Acre,Brazil
7,1855-12-01,24.1,1.7180000000000002,Acre,Brazil
8,1856-01-01,25.814,1.159,Acre,Brazil
9,1856-02-01,24.658,1.147,Acre,Brazil
10,1856-03-01,24.659,1.547,Acre,Brazil
11,1856-04-01,24.907,1.186,Acre,Brazil
12,1856-05-01,24.418000000000003,1.168,Acre,Brazil
13,1856-06-01,24.93,1.355,Acre,Brazil
14,1856-07-01,,,Acre,Brazil
15,1856-08-01,24.615,1.053,Acre,Brazil
16,1856-09-01,25.15,1.093,Acre,Brazil
17,1856-10-01,25.196,1.048,Acre,Brazil
18,1856-11-01,25.441,1.102,Acre,Brazil
19,1856-12-01,25.362,1.382,Acre,Brazil
20,1857-01-01,,,Acre,Brazil
21,1857-02-01,,,Acre,Brazil
22,1857-03-01,,,Acre,Brazil
23,1857-04-01,,,Acre,Brazil
24,1857-05-01,,,Acre,Brazil
25,1857-06-01,,,Acre,Brazil
26,1857-07-01,,,Acre,Brazil
27,1857-08-01,,,Acre,Brazil
28,1857-09-01,,,Acre,Brazil
29,1857-10-01,,,Acre,Brazil
30,1857-11-01,,,Acre,Brazil
31,1857-12-01,,,Acre,Brazil
32,1858-01-01,,,Acre,Brazil
33,1858-02-01,,,Acre,Brazil
34,1858-03-01,,,Acre,Brazil
35,1858-04-01,,,Acre,Brazil
36,1858-05-01,,,Acre,Brazil
37,1858-06-01,,,Acre,Brazil
38,1858-07-01,,,Acre,Brazil
39,1858-08-01,,,Acre,Brazil
40,1858-09-01,,,Acre,Brazil
41,1858-10-01,,,Acre,Brazil
42,1858-11-01,,,Acre,Brazil
43,1858-12-01,,,Acre,Brazil
44,1859-01-01,,,Acre,Brazil
45,1859-02-01,,,Acre,Brazil
46,1859-03-01,,,Acre,Brazil
47,1859-04-01,,,Acre,Brazil
48,1859-05-01,,,Acre,Brazil
49,1859-06-01,,,Acre,Brazil
50,1859-07-01,,,Acre,Brazil
51,1859-08-01,,,Acre,Brazil
52,1859-09-01,,,Acre,Brazil
53,1859-10-01,,,Acre,Brazil
54,1859-11-01,,,Acre,Brazil
55,1859-12-01,,,Acre,Brazil
56,1860-01-01,,,Acre,Brazil
57,1860-02-01,,,Acre,Brazil
58,1860-03-01,,,Acre,Brazil
59,1860-04-01,,,Acre,Brazil
60,1860-05-01,,,Acre,Brazil
61,1860-06-01,,,Acre,Brazil
62,1860-07-01,,,Acre,Brazil
63,1860-08-01,,,Acre,Brazil
64,1860-09-01,,,Acre,Brazil
65,1860-10-01,,,Acre,Brazil
66,1860-11-01,,,Acre,Brazil
67,1860-12-01,,,Acre,Brazil
68,1861-01-01,,,Acre,Brazil
69,1861-02-01,,,Acre,Brazil
70,1861-03-01,,,Acre,Brazil
71,1861-04-01,,,Acre,Brazil
72,1861-05-01,,,Acre,Brazil
73,1861-06-01,,,Acre,Brazil
74,1861-07-01,,,Acre,Brazil
75,1861-08-01,,,Acre,Brazil
76,1861-09-01,,,Acre,Brazil
77,1861-10-01,,,Acre,Brazil
78,1861-11-01,,,Acre,Brazil
79,1861-12-01,,,Acre,Brazil
80,1862-01-01,,,Acre,Brazil
81,1862-02-01,,,Acre,Brazil
82,1862-03-01,,,Acre,Brazil
83,1862-04-01,,,Acre,Brazil
84,1862-05-01,,,Acre,Brazil
85,1862-06-01,,,Acre,Brazil
86,1862-07-01,,,Acre,Brazil
87,1862-08-01,,,Acre,Brazil
88,1862-09-01,,,Acre,Brazil
89,1862-10-01,,,Acre,Brazil
90,1862-11-01,,,Acre,Brazil
91,1862-12-01,,,Acre,Brazil
92,1863-01-01,,,Acre,Brazil
93,1863-02-01,,,Acre,Brazil
94,1863-03-01,,,Acre,Brazil
95,1863-04-01,,,Acre,Brazil
96,1863-05-01,,,Acre,Brazil
97,1863-06-01,,,Acre,Brazil
98,1863-07-01,,,Acre,Brazil
99,1863-08-01,,,Acre,Brazil
100,1863-09-01,,,Acre,Brazil
101,1863-10-01,,,Acre,Brazil
102,1863-11-01,,,Acre,Brazil
103,1863-12-01,,,Acre,Brazil
104,1864-01-01,,,Acre,Brazil
105,1864-02-01,,,Acre,Brazil
106,1864-03-01,,,Acre,Brazil
107,1864-04-01,,,Acre,Brazil
108,1864-05-01,,,Acre,Brazil
109,1864-06-01,,,Acre,Brazil
110,1864-07-01,,,Acre,Brazil
111,1864-08-01,,,Acre,Brazil
112,1864-09-01,,,Acre,Brazil
113,1864-10-01,,,Acre,Brazil
114,1864-11-01,,,Acre,Brazil
115,1864-12-01,,,Acre,Brazil
116,1865-01-01,,,Acre,Brazil
117,1865-02-01,,,Acre,Brazil
118,1865-03-01,,,Acre,Brazil
119,1865-04-01,,,Acre,Brazil
120,1865-05-01,,,Acre,Brazil
121,1865-06-01,,,Acre,Brazil
122,1865-07-01,,,Acre,Brazil
123,1865-08-01,,,Acre,Brazil
124,1865-09-01,,,Acre,Brazil
125,1865-10-01,,,Acre,Brazil
126,1865-11-01,,,Acre,Brazil
127,1865-12-01,,,Acre,Brazil
128,1866-01-01,,,Acre,Brazil
129,1866-02-01,,,Acre,Brazil
130,1866-03-01,,,Acre,Brazil
131,1866-04-01,,,Acre,Brazil
132,1866-05-01,,,Acre,Brazil
133,1866-06-01,,,Acre,Brazil
134,1866-07-01,,,Acre,Brazil
135,1866-08-01,,,Acre,Brazil
136,1866-09-01,,,Acre,Brazil
137,1866-10-01,,,Acre,Brazil
138,1866-11-01,,,Acre,Brazil
139,1866-12-01,,,Acre,Brazil
140,1867-01-01,,,Acre,Brazil
141,1867-02-01,,,Acre,Brazil
142,1867-03-01,,,Acre,Brazil
143,1867-04-01,,,Acre,Brazil
144,1867-05-01,,,Acre,Brazil
145,1867-06-01,,,Acre,Brazil
146,1867-07-01,,,Acre,Brazil
147,1867-08-01,,,Acre,Brazil
148,1867-09-01,,,Acre,Brazil
149,1867-10-01,,,Acre,Brazil
150,1867-11-01,,,Acre,Brazil
151,1867-12-01,,,Acre,Brazil
152,1868-01-01,,,Acre,Brazil
153,1868-02-01,,,Acre,Brazil
154,1868-03-01,,,Acre,Brazil
155,1868-04-01,,,Acre,Brazil
156,1868-05-01,,,Acre,Brazil
157,1868-06-01,,,Acre,Brazil
158,1868-07-01,,,Acre,Brazil
159,1868-08-01,,,Acre,Brazil
160,1868-09-01,,,Acre,Brazil
161,1868-10-01,,,Acre,Brazil
162,1868-11-01,,,Acre,Brazil
163,1868-12-01,,,Acre,Brazil
164,1869-01-01,,,Acre,Brazil
165,1869-02-01,,,Acre,Brazil
166,1869-03-01,,,Acre,Brazil
167,1869-04-01,,,Acre,Brazil
168,1869-05-01,,,Acre,Brazil
169,1869-06-01,,,Acre,Brazil
170,1869-07-01,,,Acre,Brazil
171,1869-08-01,,,Acre,Brazil
172,1869-09-01,,,Acre,Brazil
173,1869-10-01,,,Acre,Brazil
174,1869-11-01,,,Acre,Brazil
175,1869-12-01,,,Acre,Brazil
176,1870-01-01,,,Acre,Brazil
177,1870-02-01,,,Acre,Brazil
178,1870-03-01,,,Acre,Brazil
179,1870-04-01,,,Acre,Brazil
180,1870-05-01,,,Acre,Brazil
181,1870-06-01,,,Acre,Brazil
182,1870-07-01,,,Acre,Brazil
183,1870-08-01,,,Acre,Brazil
184,1870-09-01,,,Acre,Brazil
185,1870-10-01,,,Acre,Brazil
186,1870-11-01,,,Acre,Brazil
187,1870-12-01,,,Acre,Brazil
188,1871-01-01,,,Acre,Brazil
189,1871-02-01,,,Acre,Brazil
190,1871-03-01,,,Acre,Brazil
191,1871-04-01,,,Acre,Brazil
192,1871-05-01,,,Acre,Brazil
193,1871-06-01,,,Acre,Brazil
194,1871-07-01,,,Acre,Brazil
195,1871-08-01,,,Acre,Brazil
196,1871-09-01,,,Acre,Brazil
197,1871-10-01,,,Acre,Brazil
198,1871-11-01,,,Acre,Brazil
199,1871-12-01,,,Acre,Brazil
200,1872-01-01,,,Acre,Brazil
201,1872-02-01,,,Acre,Brazil
202,1872-03-01,,,Acre,Brazil
203,1872-04-01,,,Acre,Brazil
204,1872-05-01,,,Acre,Brazil
205,1872-06-01,,,Acre,Brazil
206,1872-07-01,,,Acre,Brazil
207,1872-08-01,,,Acre,Brazil
208,1872-09-01,,,Acre,Brazil
209,1872-10-01,,,Acre,Brazil
210,1872-11-01,,,Acre,Brazil
211,1872-12-01,,,Acre,Brazil
212,1873-01-01,25.725,1.148,Acre,Brazil
213,1873-02-01,26.052,1.364,Acre,Brazil
214,1873-03-01,25.462,1.097,Acre,Brazil
215,1873-04-01,25.463,1.513,Acre,Brazil
216,1873-05-01,25.733,1.347,Acre,Brazil
217,1873-06-01,25.318,1.52,Acre,Brazil
218,1873-07-01,24.956,1.102,Acre,Brazil
219,1873-08-01,25.936,1.19,Acre,Brazil
220,1873-09-01,26.32,1.307,Acre,Brazil
221,1873-10-01,,,Acre,Brazil
222,1873-11-01,,,Acre,Brazil
223,1873-12-01,,,Acre,Brazil
224,1874-01-01,25.696,1.4369999999999998,Acre,Brazil
225,1874-02-01,25.777,1.216,Acre,Brazil
226,1874-03-01,24.512,1.1909999999999998,Acre,Brazil
227,1874-04-01,25.34,1.222,Acre,Brazil
228,1874-05-01,25.217,1.041,Acre,Brazil
229,1874-06-01,,,Acre,Brazil
230,1874-07-01,25.022,1.3090000000000002,Acre,Brazil
231,1874-08-01,25.594,1.115,Acre,Brazil
232,1874-09-01,26.313,1.149,Acre,Brazil
